id,width,height,url,photographer,photographer_url,photographer_id,avg_color,original,large2x,large,medium,small,portrait,landscape,tiny,liked,alt,aspect_ratio,orientation,describes_bread,mentions_side,mentions_setting,resolution
29349524,4000,6000,https://www.pexels.com/photo/freshly-baked-bread-rolls-in-vietnamese-bakery-29349524/,Quân Nguyễn,https://www.pexels.com/@quan-nguy-n-1712492518,1712492518,#7B573D,https://images.pexels.com/photos/29349524/pexels-photo-29349524.jpeg,https://images.pexels.com/photos/29349524/pexels-photo-29349524.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/29349524/pexels-photo-29349524.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://images.pexels.com/photos/29349524/pexels-photo-29349524.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/29349524/pexels-photo-29349524.jpeg?auto=compress&cs=tinysrgb&h=130,https://images.pexels.com/photos/29349524/pexels-photo-29349524.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/29349524/pexels-photo-29349524.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,https://images.pexels.com/photos/29349524/pexels-photo-29349524.jpeg?auto=compress&cs=tinysrgb&dpr=1&fit=crop&h=200&w=280,FALSE,"golden fresh bread rolls arranged in a basket at a bakery in hồ chí minh, vietnam.",0.6666666666666666,portrait,TRUE,FALSE,TRUE,24000000
30816655,2336,3504,https://www.pexels.com/photo/artisan-bread-with-cheese-and-tomato-on-rustic-board-30816655/,Beyza Yalçın,https://www.pexels.com/@beyza-yalcin-153182170,153182170,#76523A,https://images.pexels.com/photos/30816655/pexels-photo-30816655.jpeg,https://images.pexels.com/photos/30816655/pexels-photo-30816655.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/30816655/pexels-photo-30816655.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://images.pexels.com/photos/30816655/pexels-photo-30816655.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/30816655/pexels-photo-30816655.jpeg?auto=compress&cs=tinysrgb&h=130,https://images.pexels.com/photos/30816655/pexels-photo-30816655.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/30816655/pexels-photo-30816655.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,https://images.pexels.com/photos/30816655/pexels-photo-30816655.jpeg?auto=compress&cs=tinysrgb&dpr=1&fit=crop&h=200&w=280,FALSE,"freshly baked artisan bread on a cutting board with cheese and tomato, perfect for a rustic meal.",0.6666666666666666,portrait,TRUE,TRUE,TRUE,8185344
30785748,4000,6000,https://www.pexels.com/photo/rustic-bread-with-eggs-and-tomatoes-in-dark-setting-30785748/,Beyza Yalçın,https://www.pexels.com/@beyza-yalcin-153182170,153182170,#453D2A,https://images.pexels.com/photos/30785748/pexels-photo-30785748.jpeg,https://images.pexels.com/photos/30785748/pexels-photo-30785748.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/30785748/pexels-photo-30785748.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://images.pexels.com/photos/30785748/pexels-photo-30785748.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/30785748/pexels-photo-30785748.jpeg?auto=compress&cs=tinysrgb&h=130,https://images.pexels.com/photos/30785748/pexels-photo-30785748.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/30785748/pexels-photo-30785748.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,https://images.pexels.com/photos/30785748/pexels-photo-30785748.jpeg?auto=compress&cs=tinysrgb&dpr=1&fit=crop&h=200&w=280,FALSE,"artisan bread with eggs and tomatoes, perfect for rustic or homemade food themes.",0.6666666666666666,portrait,TRUE,TRUE,TRUE,24000000
14565958,3840,5760,https://www.pexels.com/photo/freshly-baked-goods-14565958/,Taha Samet Arslan,https://www.pexels.com/@tahaasamett,48519573,#A37252,https://images.pexels.com/photos/14565958/pexels-photo-14565958.jpeg,https://images.pexels.com/photos/14565958/pexels-photo-14565958.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/14565958/pexels-photo-14565958.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://images.pexels.com/photos/14565958/pexels-photo-14565958.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/14565958/pexels-photo-14565958.jpeg?auto=compress&cs=tinysrgb&h=130,https://images.pexels.com/photos/14565958/pexels-photo-14565958.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/14565958/pexels-photo-14565958.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,https://images.pexels.com/photos/14565958/pexels-photo-14565958.jpeg?auto=compress&cs=tinysrgb&dpr=1&fit=crop&h=200&w=280,FALSE,"artisan breads and baguette in a rustic bakery setting, beautifully displayed with natural lighting.",0.6666666666666666,portrait,TRUE,FALSE,TRUE,22118400
30596423,1728,3072,https://www.pexels.com/photo/stack-of-freshly-baked-bread-loaves-in-bakery-30596423/,Zehra K.,https://www.pexels.com/@zehra-k-710717493,710717493,#261D16,https://images.pexels.com/photos/30596423/pexels-photo-30596423.jpeg,https://images.pexels.com/photos/30596423/pexels-photo-30596423.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/30596423/pexels-photo-30596423.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://images.pexels.com/photos/30596423/pexels-photo-30596423.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/30596423/pexels-photo-30596423.jpeg?auto=compress&cs=tinysrgb&h=130,https://images.pexels.com/photos/30596423/pexels-photo-30596423.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/30596423/pexels-photo-30596423.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,https://images.pexels.com/photos/30596423/pexels-photo-30596423.jpeg?auto=compress&cs=tinysrgb&dpr=1&fit=crop&h=200&w=280,FALSE,"warmly lit stack of freshly baked bread loaves at a bakery, showcasing rustic artisanal quality.",0.5625,portrait,TRUE,FALSE,TRUE,5308416
30816606,4000,6000,https://www.pexels.com/photo/rustic-whole-grain-bread-with-basket-of-eggs-30816606/,Beyza Yalçın,https://www.pexels.com/@beyza-yalcin-153182170,153182170,#443424,https://images.pexels.com/photos/30816606/pexels-photo-30816606.jpeg,https://images.pexels.com/photos/30816606/pexels-photo-30816606.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/30816606/pexels-photo-30816606.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://images.pexels.com/photos/30816606/pexels-photo-30816606.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/30816606/pexels-photo-30816606.jpeg?auto=compress&cs=tinysrgb&h=130,https://images.pexels.com/photos/30816606/pexels-photo-30816606.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/30816606/pexels-photo-30816606.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,https://images.pexels.com/photos/30816606/pexels-photo-30816606.jpeg?auto=compress&cs=tinysrgb&dpr=1&fit=crop&h=200&w=280,FALSE,"delicious whole grain bread with a rustic touch, paired with fresh eggs in a basket.",0.6666666666666666,portrait,TRUE,FALSE,TRUE,24000000
30816630,4000,6000,https://www.pexels.com/photo/rustic-bread-loaf-with-cheese-and-tomatoes-30816630/,Beyza Yalçın,https://www.pexels.com/@beyza-yalcin-153182170,153182170,#574030,https://images.pexels.com/photos/30816630/pexels-photo-30816630.jpeg,https://images.pexels.com/photos/30816630/pexels-photo-30816630.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/30816630/pexels-photo-30816630.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://images.pexels.com/photos/30816630/pexels-photo-30816630.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/30816630/pexels-photo-30816630.jpeg?auto=compress&cs=tinysrgb&h=130,https://images.pexels.com/photos/30816630/pexels-photo-30816630.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/30816630/pexels-photo-30816630.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,https://images.pexels.com/photos/30816630/pexels-photo-30816630.jpeg?auto=compress&cs=tinysrgb&dpr=1&fit=crop&h=200&w=280,FALSE,"freshly baked bread loaf served with cheese and cherry tomatoes, perfect for a rustic meal.",0.6666666666666666,portrait,TRUE,TRUE,TRUE,24000000
27165969,3024,4032,https://www.pexels.com/photo/bread-in-bakery-27165969/,Ruxanda Photography,https://www.pexels.com/@ruxanda-photography-1470184397,1470184397,#5A462E,https://images.pexels.com/photos/27165969/pexels-photo-27165969.jpeg,https://images.pexels.com/photos/27165969/pexels-photo-27165969.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/27165969/pexels-photo-27165969.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://images.pexels.com/photos/27165969/pexels-photo-27165969.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/27165969/pexels-photo-27165969.jpeg?auto=compress&cs=tinysrgb&h=130,https://images.pexels.com/photos/27165969/pexels-photo-27165969.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/27165969/pexels-photo-27165969.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,https://images.pexels.com/photos/27165969/pexels-photo-27165969.jpeg?auto=compress&cs=tinysrgb&dpr=1&fit=crop&h=200&w=280,FALSE,close-up of freshly baked rye loaves resting on wooden shelves in a bakery.,0.75,portrait,TRUE,FALSE,TRUE,12192768
16149823,3456,5184,https://www.pexels.com/photo/bread-16149823/,Chrystian Guedez,https://www.pexels.com/@chrystiang,1422239,#927965,https://images.pexels.com/photos/16149823/pexels-photo-16149823.jpeg,https://images.pexels.com/photos/16149823/pexels-photo-16149823.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/16149823/pexels-photo-16149823.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://images.pexels.com/photos/16149823/pexels-photo-16149823.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/16149823/pexels-photo-16149823.jpeg?auto=compress&cs=tinysrgb&h=130,https://images.pexels.com/photos/16149823/pexels-photo-16149823.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/16149823/pexels-photo-16149823.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,https://images.pexels.com/photos/16149823/pexels-photo-16149823.jpeg?auto=compress&cs=tinysrgb&dpr=1&fit=crop&h=200&w=280,FALSE,"close-up of freshly sliced homemade rye bread on a cutting board, showcasing texture and crispness.",0.6666666666666666,portrait,TRUE,FALSE,TRUE,17915904
7333161,4010,6016,https://www.pexels.com/photo/brown-breads-and-wheat-grass-7333161/,Evgeniy Alekseyev,https://www.pexels.com/@shliftik,41703450,#CEB29A,https://images.pexels.com/photos/7333161/pexels-photo-7333161.jpeg,https://images.pexels.com/photos/7333161/pexels-photo-7333161.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/7333161/pexels-photo-7333161.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://images.pexels.com/photos/7333161/pexels-photo-7333161.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/7333161/pexels-photo-7333161.jpeg?auto=compress&cs=tinysrgb&h=130,https://images.pexels.com/photos/7333161/pexels-photo-7333161.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/7333161/pexels-photo-7333161.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,https://images.pexels.com/photos/7333161/pexels-photo-7333161.jpeg?auto=compress&cs=tinysrgb&dpr=1&fit=crop&h=200&w=280,FALSE,close-up view of artisan breads with wheat in a basket for a rustic food presentation.,0.6665558510638298,portrait,TRUE,FALSE,TRUE,24124160
